timestamp,position,fuel,prev_mw,curr_mw,delta_mw,limit_mw,excess_mw,nd_input_jump_mw
2026-05-16 14:00:00+10:00,seam,coal_brown,1713.3,2473.1,759.8,268.4,490.8,597.5
2026-01-18 14:00:00+10:00,seam,coal_brown,1361.0,2120.7,759.7,268.4,490.7,340.1
2026-02-08 14:00:00+10:00,seam,coal_brown,2903.2,3652.0,748.8,268.4,479.8,452.1
2026-02-01 14:00:00+10:00,seam,coal_brown,1112.5,1843.5,731.0,268.4,462.0,217.5
2026-03-11 14:00:00+10:00,seam,coal_brown,2363.5,3089.6,726.0,268.4,457.0,626.0
2026-03-28 14:00:00+10:00,seam,coal_brown,1891.5,2613.8,722.3,268.4,453.3,348.4
2026-05-03 14:00:00+10:00,seam,coal_brown,1913.5,2631.1,717.6,268.4,448.6,545.2
2026-05-06 14:00:00+10:00,seam,coal_brown,2308.0,3018.7,710.6,268.4,441.6,519.4
2026-04-11 14:00:00+10:00,seam,coal_brown,1562.8,2261.6,698.7,268.4,429.7,312.8
2026-06-01 14:00:00+10:00,seam,coal_brown,3109.9,3806.1,696.2,268.4,427.2,721.1
2026-06-21 14:00:00+10:00,seam,coal_brown,3542.6,4238.7,696.1,268.4,427.1,434.1
2026-01-09 14:00:00+10:00,seam,gas_steam,0.0,483.0,483.0,58.9,423.5,738.4
2026-04-16 14:00:00+10:00,seam,coal_brown,1786.0,2469.9,683.9,268.4,414.9,486.4
2026-03-01 14:00:00+10:00,seam,coal_brown,2802.2,3482.6,680.4,268.4,411.4,605.0
2026-03-14 14:00:00+10:00,seam,coal_brown,1768.3,2447.9,679.6,268.4,410.6,262.5
2026-02-14 14:00:00+10:00,seam,coal_brown,1513.4,2174.0,660.6,268.4,391.6,363.8
2026-04-04 14:00:00+10:00,seam,coal_brown,1706.8,2358.5,651.7,268.4,382.7,83.0
2026-03-12 14:00:00+10:00,seam,coal_brown,1896.2,2539.4,643.2,268.4,374.2,342.3
2026-01-07 14:00:00+10:00,seam,hydro,1203.6,256.4,-947.2,-575.3,371.3,743.9
